专业,部件名称/场景分类,部位名称/场景名称,状态描述/场景描述,标注标签
设备-变电,消弧装置,呼吸器,油封玻璃破损,022_xhzz_hxq_yfblps
设备-变电,消弧装置,呼吸器,油封油位异常,022_xhzz_hxq_yfywyc
设备-变电,消弧装置,呼吸器,正常,022_xhzz_hxq_zc
设备-变电,组合电器,本体,金属锈蚀,022_zhdq_bt_jsxs
设备-变电,组合电器,本体,外观变形,022_zhdq_bt_wgbx
设备-变电,组合电器,本体,正常,022_zhdq_bt_zc
设备-变电,组合电器,汇控柜,柜门闭合异常,022_zhdq_hkg_gmbhyc
设备-变电,组合电器,汇控柜,外观变形,022_zhdq_hkg_wgbx
设备-变电,组合电器,汇控柜,正常,022_zhdq_hkg_zc
设备-变电,组合电器,机构箱,金属锈蚀,022_zhdq_jgx_jsxs
设备-变电,组合电器,机构箱,箱门闭合异常,022_zhdq_jgx_xmbhyc
设备-变电,组合电器,机构箱,正常,022_zhdq_jgx_zc
设备-变电,组合电器,均压环,变形,022_zhdq_jyh_bx
设备-变电,组合电器,均压环,破损,022_zhdq_jyh_ps
设备-变电,组合电器,均压环,脱落,022_zhdq_jyh_tl
设备-变电,组合电器,均压环,正常,022_zhdq_jyh_zc
设备-配电, 低压配电柜,本体,本体外观破损,023_ dypdg_bt_btwgps
设备-配电,低压配电柜,本体,本体外观破损,023_ dypdg_bt_btwgps
设备-配电,低压配电柜,本体,正常,023_ dypdg_bt_zc
设备-配电, 低压配电柜,表箱,表箱锈蚀,023_ dypdg_bx_bxxs
设备-配电,低压配电柜,表箱,表箱锈蚀,023_ dypdg_bx_bxxs
设备-配电,低压配电柜,表箱,正常,023_ dypdg_bx_zc
设备-配电,ADSS,接线盒,接线盒脱落,023_adss_jxh_jxhtl
设备-配电,ADSS,接线盒,密封不良,023_adss_jxh_mfbl
设备-配电,ADSS,接线盒,正常,023_adss_jxh_zc
设备-配电,ADSS,支架,正常,023_adss_zj_zc
设备-配电,ADSS,支架,支架螺丝缺失,023_adss_zj_zjlsqs
设备-配电,ADSS,支架,支架缺失,023_adss_zj_zjqs
设备-配电,ADSS,支架,支架脱落,023_adss_zj_zjtl
设备-配电,保护金具,防振锤,滑移,023_bhjj_fzc_hy
设备-配电,保护金具,防振锤,偏斜,023_bhjj_fzc_px
设备-配电,保护金具,防振锤,脱落,023_bhjj_fzc_tl
设备-配电,保护金具,防振锤,锈蚀,023_bhjj_fzc_xs
设备-配电,保护金具,防振锤,正常,023_bhjj_fzc_zc
设备-配电,保护金具,护线条,断股,023_bhjj_hxt_dg
设备-配电,保护金具,护线条,破损,023_bhjj_hxt_ps
设备-配电,保护金具,护线条,松散,023_bhjj_hxt_ss
设备-配电,保护金具,护线条,位移,023_bhjj_hxt_wy
设备-配电,保护金具,护线条,正常,023_bhjj_hxt_zc
设备-配电,保护金具,护线条,灼伤,023_bhjj_hxt_zs
设备-配电,保护金具,间隔棒,缺损,023_bhjj_jgb_qs
设备-配电,保护金具,间隔棒,正常,023_bhjj_jgb_zc
设备-配电,保护金具,屏蔽环,损坏,023_bhjj_pbh_sh
设备-配电,保护金具,屏蔽环,脱落,023_bhjj_pbh_tl
设备-配电,保护金具,屏蔽环,锈蚀,023_bhjj_pbh_xs
设备-配电,保护金具,屏蔽环,正常,023_bhjj_pbh_zc
设备-配电,保护金具,屏蔽环,灼伤,023_bhjj_pbh_zs
设备-配电,保护金具,重锤,缺损,023_bhjj_zc_qs
设备-配电,保护金具,重锤,锈蚀,023_bhjj_zc_xs
设备-配电,保护金具,重锤,正常,023_bhjj_zc_zc
设备-配电,保护金具,阻尼线,断股,023_bhjj_znx_dg
设备-配电,保护金具,阻尼线,位移,023_bhjj_znx_wy
设备-配电,保护金具,阻尼线,正常,023_bhjj_znx_zc
设备-配电,保护金具,阻尼线,灼伤,023_bhjj_znx_zs
设备-配电,避雷器,本体,击伤,023_blq_bt_js
设备-配电,避雷器,本体,裂纹,023_blq_bt_lw
设备-配电,避雷器,本体,破损,023_blq_bt_ps
设备-配电,避雷器,本体,缺件,023_blq_bt_qj
设备-配电,避雷器,本体,缺螺栓,023_blq_bt_qls
设备-配电,避雷器,本体,松动,023_blq_bt_sd
设备-配电,避雷器,本体,脱落,023_blq_bt_tl
设备-配电,避雷器,本体,脱离器断开,023_blq_bt_tlqdk
设备-配电,避雷器,本体,正常,023_blq_bt_zc
设备-配电,避雷器,本体,炸开,023_blq_bt_zk
设备-配电,避雷器,计数器,表盘模糊,023_blq_jsq_bpmh
设备-配电,避雷器,计数器,计数器表面破损,023_blq_jsq_jsqbmps
设备-配电,避雷器,计数器,计数器连线松动,023_blq_jsq_jsqlxsd
设备-配电,避雷器,计数器,计数器连线脱落,023_blq_jsq_jsqlxtl
设备-配电,避雷器,计数器,计数器图文不清,023_blq_jsq_jsqtwbq
设备-配电,避雷器,计数器,计数器指示异常,023_blq_jsq_jsqzsyc
设备-配电,避雷器,计数器,外壳破损,023_blq_jsq_wkps
设备-配电,避雷器,计数器,泄漏电流表指示异常,023_blq_jsq_xldlbzsyc
设备-配电,避雷器,计数器,正常,023_blq_jsq_zc
设备-配电,避雷器,支架,间隙破损,023_blq_zj_jxps
设备-配电,避雷器,支架,正常,023_blq_zj_zc
设备-配电,避雷器,支架,支架松动,023_blq_zj_zjsd
设备-配电,避雷器,支架,支架脱落,023_blq_zj_zjtl
设备-配电,避雷针,本体,缺件,023_blz_bt_qj
设备-配电,避雷针,本体,松动,023_blz_bt_sd
设备-配电,避雷针,本体,脱落,023_blz_bt_tl
设备-配电,避雷针,本体,位移,023_blz_bt_wy
设备-配电,避雷针,本体,锈蚀,023_blz_bt_xs
设备-配电,避雷针,本体,正常,023_blz_bt_zc
设备-配电,避雷针,构架,金属锈蚀,023_blz_gj_jsxs
设备-配电,避雷针,构架,正常,023_blz_gj_zc
设备-配电,避雷针,接地装置,金属锈蚀,023_blz_jdzz_jsxs
设备-配电,避雷针,接地装置,正常,023_blz_jdzz_zc
设备-配电,变压器or电抗器,本体储油柜,部件表面油污,023_byq/dkq_btcyg_bjbmyw
设备-配电,变压器or电抗器,本体储油柜,金属锈蚀,023_byq/dkq_btcyg_jsxs
设备-配电,变压器or电抗器,本体储油柜,正常,023_byq/dkq_btcyg_zc
设备-配电,变压器or电抗器,本体呼吸器,硅胶变色,023_byq/dkq_bthxq_gjbs
设备-配电,变压器or电抗器,本体呼吸器,硅胶筒玻璃破损,023_byq/dkq_bthxq_gjtblps
设备-配电,变压器or电抗器,本体呼吸器,油封玻璃破损,023_byq/dkq_bthxq_yfblps
设备-配电,变压器or电抗器,本体呼吸器,油封油位异常,023_byq/dkq_bthxq_yfywyc
设备-配电,变压器or电抗器,本体呼吸器,正常,023_byq/dkq_bthxq_zc
设备-配电,变压器or电抗器,端子箱,金属锈蚀,023_byq/dkq_dzx_jsxs
设备-配电,变压器or电抗器,端子箱,箱门闭合异常,023_byq/dkq_dzx_xmbhyc
设备-配电,变压器or电抗器,端子箱,正常,023_byq/dkq_dzx_zc
设备-配电,变压器or电抗器,分接开关储油柜,部件表面油污,023_byq/dkq_fjkgcyg_bjbmyw
设备-配电,变压器or电抗器,分接开关储油柜,金属锈蚀,023_byq/dkq_fjkgcyg_jsxs
设备-配电,变压器or电抗器,分接开关储油柜,正常,023_byq/dkq_fjkgcyg_zc
设备-配电,变压器or电抗器,分接开关呼吸器,硅胶变色,023_byq/dkq_fjkghxq_gjbs
设备-配电,变压器or电抗器,分接开关呼吸器,硅胶筒玻璃破损,023_byq/dkq_fjkghxq_gjtblps
设备-配电,变压器or电抗器,分接开关呼吸器,油封玻璃破损,023_byq/dkq_fjkghxq_yfblps
设备-配电,变压器or电抗器,分接开关呼吸器,油封油位异常,023_byq/dkq_fjkghxq_yfywyc
设备-配电,变压器or电抗器,分接开关呼吸器,正常,023_byq/dkq_fjkghxq_zc
设备-配电,变压器or电抗器,分接开关机构箱,金属锈蚀,023_byq/dkq_fjkgjgx_jsxs
设备-配电,变压器or电抗器,分接开关机构箱,箱门闭合异常,023_byq/dkq_fjkgjgx_xmbhyc
设备-配电,变压器or电抗器,分接开关机构箱,正常,023_byq/dkq_fjkgjgx_zc
设备-配电,变压器or电抗器,护套,缺失,023_byq/dkq_ht_qs
设备-配电,变压器or电抗器,护套,正常,023_byq/dkq_ht_zc
设备-配电,变压器or电抗器,接地,锈蚀,023_byq/dkq_jd_xs
设备-配电,变压器or电抗器,接地,正常,023_byq/dkq_jd_zc
设备-配电,变压器or电抗器,控制箱,金属锈蚀,023_byq/dkq_kzx_jsxs
设备-配电,变压器or电抗器,控制箱,箱门闭合异常,023_byq/dkq_kzx_xmbhyc
设备-配电,变压器or电抗器,控制箱,正常,023_byq/dkq_kzx_zc
设备-配电,变压器or电抗器,冷却器,风扇故障,023_byq/dkq_lqq_fsgz
设备-配电,变压器or电抗器,冷却器,散热片表面污秽,023_byq/dkq_lqq_srpbmwh
设备-配电,变压器or电抗器,冷却器,正常,023_byq/dkq_lqq_zc
设备-配电,变压器or电抗器,潜油泵,部件表面油污,023_byq/dkq_qyb_bjbmyw
设备-配电,变压器or电抗器,潜油泵,正常,023_byq/dkq_qyb_zc
设备-配电,变压器or电抗器,升高座,部件表面油污,023_byq/dkq_sgz_bjbmyw
设备-配电,变压器or电抗器,升高座,正常,023_byq/dkq_sgz_zc
设备-配电,变压器or电抗器,压力释放阀,部件表面油污,023_byq/dkq_ylsff_bjbmyw
设备-配电,变压器or电抗器,压力释放阀,正常,023_byq/dkq_ylsff_zc
设备-配电,变压器or电抗器,油箱,部件表面油污,023_byq/dkq_yx_bjbmyw
设备-配电,变压器or电抗器,油箱,地面油污,023_byq/dkq_yx_dmyw
设备-配电,变压器or电抗器,油箱,构架爬梯未上锁,023_byq/dkq_yx_gjptwss
设备-配电,变压器or电抗器,油箱,金属锈蚀,023_byq/dkq_yx_jsxs
设备-配电,变压器or电抗器,油箱,漏油,023_byq/dkq_yx_ly
设备-配电,变压器or电抗器,油箱,正常,023_byq/dkq_yx_zc
设备-配电,变压器or电抗器,在线油色谱装置,部件表面油污,023_byq/dkq_zxyspzz_bjbmyw
设备-配电,变压器or电抗器,在线油色谱装置,正常,023_byq/dkq_zxyspzz_zc
设备-配电,变压器or电抗器,在线油色谱装置,在线显示装置异常,023_byq/dkq_zxyspzz_zxxszzyc
设备-配电,标志牌,杆号牌（含相序）,正常,023_bzp_ghp（hxx）_zc
设备-配电,标志牌,杆号牌（含相序）,破损,023_bzp_ghp（hxx）ps
设备-配电,标志牌,杆号牌（含相序）,图文不清,023_bzp_ghp（hxx）twbq
设备-配电,标志牌,警告牌,破损,023_bzp_jgp_ps
设备-配电,标志牌,警告牌,图文不清,023_bzp_jgp_twbq
设备-配电,标志牌,警告牌,正常,023_bzp_jgp_zc
设备-配电,标志牌,色标牌,破损,023_bzp_sbp_ps
设备-配电,标志牌,色标牌,退色,023_bzp_sbp_ts
设备-配电,标志牌,色标牌,正常,023_bzp_sbp_zc
设备-配电,导地线,本体,补修绑扎线松散,023_ddx_bt_bxbzxss
设备-配电,导地线,本体,断股,023_ddx_bt_dg
设备-配电,导地线,本体,断线,023_ddx_bt_dx
设备-配电,导地线,本体,地线锈蚀,023_ddx_bt_dxxs
设备-配电,导地线,本体,OPGW附件变形,023_ddx_bt_fjbx
设备-配电,导地线,本体,OPGW附件丢失,023_ddx_bt_fjds
设备-配电,导地线,本体,OPGW附件松动,023_ddx_bt_fjsd
设备-配电,导地线,本体,OPGW附件损伤,023_ddx_bt_fjss
设备-配电,导地线,本体,弧垂偏差,023_ddx_bt_hcpc
设备-配电,导地线,本体,OPGW接线盒脱落,023_ddx_bt_jxhtl
设备-配电,导地线,本体,绝缘线绝缘层破损,023_ddx_bt_jyxjycps
设备-配电,导地线,本体,裸露,023_ddx_bt_ll
设备-配电,导地线,本体,松股,023_ddx_bt_sg
设备-配电,导地线,本体,损伤,023_ddx_bt_ss
设备-配电,导地线,本体,跳股,023_ddx_bt_tg
设备-配电,导地线,本体,脱落,023_ddx_bt_tl
设备-配电,导地线,本体,未绑扎,023_ddx_bt_wbz
设备-配电,导地线,本体,异物,023_ddx_bt_yw
设备-配电,导地线,本体,正常,023_ddx_bt_zc
设备-配电,导地线,本体,子导线鞭击,023_ddx_bt_zdxbj
设备-配电,导地线,本体,子导线断线,023_ddx_bt_zdxdx
设备-配电,导地线,本体,子导线扭绞,023_ddx_bt_zdxnj
设备-配电,导地线,本体,子导线粘连,023_ddx_bt_zdxzl
设备-配电,电力电容器or耦合电容器,本体,部件表面油污,023_dldrq/ohdrq_bt_bjbmyw
设备-配电,电力电容器or耦合电容器,本体,硅胶变色,023_dldrq/ohdrq_bt_gjbs
设备-配电,电力电容器or耦合电容器,本体,硅胶筒玻璃破损,023_dldrq/ohdrq_bt_gjtblps
设备-配电,电力电容器or耦合电容器,本体,外观变形,023_dldrq/ohdrq_bt_wgbx
设备-配电,电力电容器or耦合电容器,本体,油封玻璃破损,023_dldrq/ohdrq_bt_yfblps
设备-配电,电力电容器or耦合电容器,本体,油封油位异常,023_dldrq/ohdrq_bt_yfywyc
设备-配电,电力电容器or耦合电容器,本体,正常,023_dldrq/ohdrq_bt_zc
设备-配电,电力电容器or耦合电容器,瓷套,表面污秽,023_dldrq/ohdrq_ct_bmwh
设备-配电,电力电容器or耦合电容器,瓷套,瓷套裂纹,023_dldrq/ohdrq_ct_ctlw
设备-配电,电力电容器or耦合电容器,瓷套,瓷套破损,023_dldrq/ohdrq_ct_ctps
设备-配电,电力电容器or耦合电容器,瓷套,正常,023_dldrq/ohdrq_ct_zc
设备-配电,电流互感器or电压互感器,本体,部件表面油污,023_dlhgq/dyhgq_bt_bjbmyw
设备-配电,电流互感器or电压互感器,本体,火灾烟雾,023_dlhgq/dyhgq_bt_hzyw
设备-配电,电流互感器or电压互感器,本体,金属锈蚀,023_dlhgq/dyhgq_bt_jsxs
设备-配电,电流互感器or电压互感器,本体,外绝缘裂纹,023_dlhgq/dyhgq_bt_wjylw
设备-配电,电流互感器or电压互感器,本体,外绝缘破损,023_dlhgq/dyhgq_bt_wjyps
设备-配电,电流互感器or电压互感器,本体,油位计破损,023_dlhgq/dyhgq_bt_ywjps
设备-配电,电流互感器or电压互感器,本体,油位计指示异常,023_dlhgq/dyhgq_bt_ywjzsyc
设备-配电,电流互感器or电压互感器,本体,正常,023_dlhgq/dyhgq_bt_zc
设备-配电,电流互感器or电压互感器,构架及基础,金属锈蚀,023_dlhgq/dyhgq_gjjjc_jsxs
设备-配电,电流互感器or电压互感器,构架及基础,倾斜,023_dlhgq/dyhgq_gjjjc_qx
设备-配电,电流互感器or电压互感器,构架及基础,正常,023_dlhgq/dyhgq_gjjjc_zc
设备-配电,断路器,本体,部件表面油污,023_dlq_bt_bjbmyw
设备-配电,断路器,本体,金属锈蚀,023_dlq_bt_jsxs
设备-配电,断路器,本体,正常,023_dlq_bt_zc
设备-配电,断路器,动作计数器,计数异常,023_dlq_dzjsq_jsyc
设备-配电,断路器,动作计数器,正常,023_dlq_dzjsq_zc
设备-配电,断路器,端子箱,金属锈蚀,023_dlq_dzx_jsxs
设备-配电,断路器,端子箱,箱门闭合异常,023_dlq_dzx_xmbhyc
设备-配电,断路器,端子箱,正常,023_dlq_dzx_zc
设备-配电,断路器,分合闸指示器,分合闸指示不清,023_dlq_fhzzsq_fhzzsbq
设备-配电,断路器,分合闸指示器,脱落,023_dlq_fhzzsq_tl
设备-配电,断路器,分合闸指示器,正常,023_dlq_fhzzsq_zc
设备-配电,断路器,机构箱,金属锈蚀,023_dlq_jgx_jsxs
设备-配电,断路器,机构箱,外观变形,023_dlq_jgx_wgbx
设备-配电,断路器,机构箱,箱门闭合异常,023_dlq_jgx_xmbhyc
设备-配电,断路器,机构箱,正常,023_dlq_jgx_zc
设备-配电,断路器,均压环,脱落,023_dlq_jyh_tl
设备-配电,断路器,均压环,正常,023_dlq_jyh_zc
设备-配电,断路器,套管,缺绝缘罩,023_dlq_tg_qjyz
设备-配电,跌落式熔断器,本体,绝缘罩缺失,023_dlsrdq_bt_jyzqs
设备-配电,跌落式熔断器,本体,开断,023_dlsrdq_bt_kd
设备-配电,跌落式熔断器,本体,破损,023_dlsrdq_bt_ps
设备-配电,跌落式熔断器,本体,污秽,023_dlsrdq_bt_wh
设备-配电,跌落式熔断器,本体,锈蚀,023_dlsrdq_bt_xs
设备-配电,跌落式熔断器,本体,正常,023_dlsrdq_bt_zc
设备-配电,防鸟设施,防鸟设施,缺失,023_fnss_fnss_qs
设备-配电,防鸟设施,防鸟设施,松动,023_fnss_fnss_sd
设备-配电,防鸟设施,防鸟设施,损坏,023_fnss_fnss_sh
设备-配电,防鸟设施,防鸟设施,正常,023_fnss_fnss_zc
设备-配电,隔离开关,分合闸指示,分合闸指示不清,023_glkg_fhzzs_fhzzsbq
设备-配电,隔离开关,分合闸指示,脱落,023_glkg_fhzzs_tl
设备-配电,隔离开关,分合闸指示,正常,023_glkg_fhzzs_zc
设备-配电,隔离开关,机构箱,金属锈蚀,023_glkg_jgx_jsxs
设备-配电,隔离开关,机构箱,箱门闭合异常,023_glkg_jgx_xmbhyc
设备-配电,隔离开关,机构箱,正常,023_glkg_jgx_zc
设备-配电,杆塔,叉梁,抱箍变形,023_gt_cl_bgbx
设备-配电,杆塔,叉梁,抱箍螺栓缺少,023_gt_cl_bglsqs
设备-配电,杆塔,叉梁,抱箍锈蚀,023_gt_cl_bgxs
设备-配电,杆塔,叉梁,水泥脱落,023_gt_cl_sntl
设备-配电,杆塔,叉梁,锈蚀,023_gt_cl_xs
设备-配电,杆塔,叉梁,正常,023_gt_cl_zc
设备-配电,杆塔,杆身,倒杆,023_gt_gs_dg
设备-配电,杆塔,杆身,法兰盘损坏,023_gt_gs_flpsh
设备-配电,杆塔,杆身,法兰锈蚀,023_gt_gs_flxs
设备-配电,杆塔,杆身,焊缝裂纹,023_gt_gs_hflw
设备-配电,杆塔,杆身,螺栓锈蚀,023_gt_gs_lsxs
设备-配电,杆塔,杆身,鸟巢,023_gt_gs_nc
设备-配电,杆塔,杆身,破损,023_gt_gs_ps
设备-配电,杆塔,杆身,缺螺栓,023_gt_gs_qls
设备-配电,杆塔,杆身,倾斜,023_gt_gs_qx
设备-配电,杆塔,杆身,损伤,023_gt_gs_ss
设备-配电,杆塔,杆身,弯曲,023_gt_gs_wq
设备-配电,杆塔,杆身,锈蚀,023_gt_gs_xs
设备-配电,杆塔,杆身,异物,023_gt_gs_yw
设备-配电,杆塔,杆身,正常,023_gt_gs_zc
设备-配电,杆塔,横担,扭转,023_gt_hd_nz
设备-配电,杆塔,横担,歪斜,023_gt_hd_wx
设备-配电,杆塔,横担,锈蚀,023_gt_hd_xs
设备-配电,杆塔,横担,正常,023_gt_hd_zc
设备-配电,杆塔,横担护栏,变形,023_gt_hdhl_bx
设备-配电,杆塔,横担护栏,断裂,023_gt_hdhl_dl
设备-配电,杆塔,横担护栏,脱落,023_gt_hdhl_tl
设备-配电,杆塔,横担护栏,锈蚀,023_gt_hdhl_xs
设备-配电,杆塔,横担护栏,正常,023_gt_hdhl_zc
设备-配电,杆塔,护栏,变形,023_gt_hl_bx
设备-配电,杆塔,护栏,断裂,023_gt_hl_dl
设备-配电,杆塔,护栏,锈蚀,023_gt_hl_xs
设备-配电,杆塔,护栏,正常,023_gt_hl_zc
设备-配电,杆塔,脚钉,变形,023_gt_jd_bx
设备-配电,杆塔,脚钉,缺少,023_gt_jd_qs
设备-配电,杆塔,脚钉,松动,023_gt_jd_sd
设备-配电,杆塔,脚钉,锈蚀,023_gt_jd_xs
设备-配电,杆塔,脚钉,正常,023_gt_jd_zc
设备-配电,杆塔,拉线,内Ｘ拉线金具缺少,023_gt_lx_nＸlxjjqs
设备-配电,杆塔,拉线,内Ｘ拉线金具锈蚀,023_gt_lx_nＸlxjjxs
设备-配电,杆塔,拉线,内Ｘ拉线缺少,023_gt_lx_nＸlxqs
设备-配电,杆塔,拉线,内Ｘ拉线松,023_gt_lx_nＸlxs
设备-配电,杆塔,拉线,松弛,023_gt_lx_sc
设备-配电,杆塔,拉线,水平稳拉金具缺少,023_gt_lx_spwljjqs
设备-配电,杆塔,拉线,水平稳拉金具锈蚀,023_gt_lx_spwljjxs
设备-配电,杆塔,拉线,水平稳拉缺少,023_gt_lx_spwlqs
设备-配电,杆塔,拉线,水平稳拉松,023_gt_lx_spwls
设备-配电,杆塔,拉线,损伤,023_gt_lx_ss
设备-配电,杆塔,拉线,锈蚀,023_gt_lx_xs
设备-配电,杆塔,拉线,UT 型线夹反装,023_gt_lx_xxjfz
设备-配电,杆塔,拉线,UT 型线夹缺螺母,023_gt_lx_xxjqlm
设备-配电,杆塔,拉线,UT 型线夹尾线散开,023_gt_lx_xxjwxsk
设备-配电,杆塔,拉线,UT 型线夹扎头铁丝散开,023_gt_lx_xxjzttssk
设备-配电,杆塔,拉线,正常,023_gt_lx_zc
设备-配电,杆塔,爬梯,变形,023_gt_pati_bx
设备-配电,杆塔,爬梯,断开,023_gt_pati_dk
设备-配电,杆塔,爬梯,防坠装置失灵,023_gt_pati_fzzzsl
设备-配电,杆塔,爬梯,缺损,023_gt_pati_qs
设备-配电,杆塔,爬梯,脱落,023_gt_pati_tl
设备-配电,杆塔,爬梯,锈蚀,023_gt_pati_xs
设备-配电,杆塔,爬梯,正常,023_gt_pati_zc
设备-配电,杆塔,平台,变形,023_gt_pingtai_bx
设备-配电,杆塔,平台,缺损,023_gt_pingtai_qs
设备-配电,杆塔,平台,锈蚀,023_gt_pingtai_xs
设备-配电,杆塔,平台,正常,023_gt_pingtai_zc
设备-配电,杆塔,塔材,抱箍锈蚀,023_gt_tc_bgxs
设备-配电,杆塔,塔材,变形,023_gt_tc_bx
设备-配电,杆塔,塔材,钢筋裸露,023_gt_tc_gjll
设备-配电,杆塔,塔材,缺螺栓,023_gt_tc_qls
设备-配电,杆塔,塔材,缺塔材,023_gt_tc_qtc
设备-配电,杆塔,塔材,锈蚀,023_gt_tc_xs
设备-配电,杆塔,塔材,正常,023_gt_tc_zc
设备-配电,杆塔,塔顶,损坏,023_gt_td_sh
设备-配电,杆塔,塔顶,正常,023_gt_td_zc
设备-配电,杆塔,塔身,抱箍螺栓松动,023_gt_ts_bglssd
设备-配电,杆塔,塔身,抱箍螺栓锈蚀,023_gt_ts_bglsxs
设备-配电,杆塔,塔身,地线顶架锈蚀,023_gt_ts_dxdjxs
设备-配电,杆塔,塔身,法兰盘损坏,023_gt_ts_flpsh
设备-配电,杆塔,塔身,钢箍保护层脱落,023_gt_ts_ggbhctl
设备-配电,杆塔,塔身,连接钢圈损坏,023_gt_ts_ljgqsh
设备-配电,杆塔,塔身,螺栓锈蚀,023_gt_ts_lsxs
设备-配电,杆塔,塔身,裂纹,023_gt_ts_lw
设备-配电,杆塔,塔身,缺螺栓,023_gt_ts_qls
设备-配电,杆塔,塔身,弯曲,023_gt_ts_wq
设备-配电,杆塔,塔身,锈蚀,023_gt_ts_xs
设备-配电,杆塔,塔身,异物,023_gt_ts_yw
设备-配电,杆塔,塔身,正常,023_gt_ts_zc
设备-配电,高压配电柜,本体,本体外观破损,023_gypdg_bt_btwgps
设备-配电,高压配电柜,本体,正常,023_gypdg_bt_zc
设备-配电,高压配电柜,表箱,表箱锈蚀,023_gypdg_bx_bxxs
设备-配电,高压配电柜,表箱,正常,023_gypdg_bx_zc
设备-配电,高压配电柜,操作把手,操作把手位置,023_gypdg_czbs_czbswz
设备-配电,高压配电柜,操作把手,正常,023_gypdg_czbs_zc
设备-配电,高压配电柜,压板,压板位置状态,023_gypdg_yb_ybwzzt
设备-配电,高压配电柜,压板,正常,023_gypdg_yb_zc
设备-配电,环境监测,房屋建筑物,盖板破损,023_hjjc_fwjzw_gbps
设备-配电,环境监测,房屋建筑物,盖板缺失,023_hjjc_fwjzw_gbqs
设备-配电,环境监测,房屋建筑物,门窗墙损坏,023_hjjc_fwjzw_mcqsh
设备-配电,环境监测,房屋建筑物,排洪沟堵塞,023_hjjc_fwjzw_phgds
设备-配电,环境监测,房屋建筑物,正常,023_hjjc_fwjzw_zc
设备-配电,环境监测,火灾烟雾,火灾烟雾,023_hjjc_hzyw_hzyw
设备-配电,环境监测,火灾烟雾,正常,023_hjjc_hzyw_zc
设备-配电,环境监测,积雪、积水、漏水,室内地面积雪、积水,023_hjjc_jx/js/ls_sndmjx/js
设备-配电,环境监测,积雪、积水、漏水,室内墙面或屋顶漏水,023_hjjc_jx/js/ls_snqmhwdls
设备-配电,环境监测,积雪、积水、漏水,正常,023_hjjc_jx/js/ls_zc
设备-配电,环境监测,小动物闯入,小动物闯入,023_hjjc_xdwcr_xdwcr
设备-配电,环境监测,小动物闯入,正常,023_hjjc_xdwcr_zc
设备-配电,环境监测,站房,安防区域入侵,023_hjjc_zf_afqyrq
设备-配电,环境监测,站房,防生物入侵,023_hjjc_zf_fswrq
设备-配电,环境监测,站房,正常,023_hjjc_zf_zc
设备-配电,基础,保护帽,出现裂缝,023_jc_bhm_cxlf
设备-配电,基础,保护帽,破损、浇制不全,023_jc_bhm_ps/jzbq
设备-配电,基础,保护帽,渗水,023_jc_bhm_ss
设备-配电,基础,保护帽,未浇制,023_jc_bhm_wjz
设备-配电,基础,保护帽,正常,023_jc_bhm_zc
设备-配电,基础,杆塔基础,沉降,023_jc_gtjc_cj
设备-配电,基础,杆塔基础,防洪设施倒塌,023_jc_gtjc_fhssdt
设备-配电,基础,杆塔基础,防碰撞设施损坏,023_jc_gtjc_fpzsssh
设备-配电,基础,杆塔基础,回填不够、基础保护范围内取土、基础保护范围内冲刷、基础保护范围内坍塌、基础保护范围内滑坡,023_jc_gtjc_htbg/jcbhfwnqt/jcbhfwncs/jcbhfwntt/jcbhfwnhp
设备-配电,基础,杆塔基础,基础立柱淹没,023_jc_gtjc_jclzym
设备-配电,基础,杆塔基础,金属基础锈蚀,023_jc_gtjc_jsjcxs
设备-配电,基础,杆塔基础,破损,023_jc_gtjc_ps
设备-配电,基础,杆塔基础,上拔,023_jc_gtjc_sb
设备-配电,基础,杆塔基础,正常,023_jc_gtjc_zc
设备-配电,基础,杆塔基础,杂物堆积、植被覆盖,023_jc_gtjc_zwdj/zbfg
设备-配电,基础,拉线基础,回填不够、基础保护范围内取土、基础保护范围内冲刷、基础保护范围内坍塌、基础保护范围内滑坡,023_jc_lxjc_htbg/jcbhfwnqt/jcbhfwncs/jcbhfwntt/jcbhfwnhp
设备-配电,基础,拉线基础,拉线棒锈蚀,023_jc_lxjc_lxbxs
设备-配电,基础,拉线基础,正常,023_jc_lxjc_zc
设备-配电,基础,拉线基础,杂物堆积,023_jc_lxjc_zwdj
设备-配电,接地装置,接地螺栓,缺失,023_jdzz_jdls_qs
设备-配电,接地装置,接地螺栓,锈蚀,023_jdzz_jdls_xs
设备-配电,接地装置,接地螺栓,正常,023_jdzz_jdls_zc
设备-配电,接地装置,接地线,外露,023_jdzz_jdx_wl
设备-配电,接地装置,接地线,正常,023_jdzz_jdx_zc
设备-配电,接地装置,引下线,断开,023_jdzz_yxx_dk
设备-配电,接地装置,引下线,缺失,023_jdzz_yxx_qs
设备-配电,接地装置,引下线,锈蚀,023_jdzz_yxx_xs
设备-配电,接地装置,引下线,正常,023_jdzz_yxx_zc
设备-配电,接续金具,并沟线夹,螺栓松动,023_jxjj_bgxj_lssd
设备-配电,接续金具,并沟线夹,缺损,023_jxjj_bgxj_qs
设备-配电,接续金具,并沟线夹,位移,023_jxjj_bgxj_wy
设备-配电,接续金具,并沟线夹,正常,023_jxjj_bgxj_zc
设备-配电,接续金具,接续管,导地线出口处断股、抽头或位移,023_jxjj_jxg_ddxckcdg/cthwy
设备-配电,接续金具,接续管,导地线出口处鼓包,023_jxjj_jxg_ddxckcgb
